,Edge,Min Odds Away,Min Odds Home,Max Odds Away,Max Odds Home,Profit,Percentage
140,4.0,-1000.0,-600.0,150.0,200.0,-349.79999999999995,0.4
141,4.0,-1000.0,-600.0,150.0,150.0,22.200000000000045,0.46
142,4.0,-1000.0,-600.0,150.0,125.0,124.20000000000005,0.49
143,4.0,-1000.0,-600.0,150.0,0.0,181.20000000000005,0.5
144,4.0,-1000.0,-600.0,125.0,1000.0,-578.8,0.34
145,4.0,-1000.0,-600.0,125.0,600.0,-578.8,0.34
146,4.0,-1000.0,-600.0,125.0,500.0,-578.8,0.34
147,4.0,-1000.0,-600.0,125.0,400.0,-578.8,0.34
148,4.0,-1000.0,-600.0,125.0,300.0,-622.8,0.34
149,4.0,-1000.0,-600.0,125.0,200.0,-589.8,0.35
150,4.0,-1000.0,-600.0,125.0,150.0,-217.79999999999995,0.42
151,4.0,-1000.0,-600.0,125.0,125.0,-115.79999999999995,0.45
152,4.0,-1000.0,-600.0,125.0,0.0,-58.799999999999955,0.48
153,4.0,-1000.0,-600.0,0.0,1000.0,-544.8,0.31
154,4.0,-1000.0,-600.0,0.0,600.0,-544.8,0.31
155,4.0,-1000.0,-600.0,0.0,500.0,-544.8,0.31
156,4.0,-1000.0,-600.0,0.0,400.0,-544.8,0.31
157,4.0,-1000.0,-600.0,0.0,300.0,-588.8,0.31
158,4.0,-1000.0,-600.0,0.0,200.0,-555.8,0.31
159,4.0,-1000.0,-600.0,0.0,150.0,-183.79999999999995,0.39
160,4.0,-1000.0,-600.0,0.0,125.0,-81.79999999999995,0.45
161,4.0,-1000.0,-600.0,0.0,0.0,-24.799999999999955,0.55
162,4.0,-1000.0,-500.0,1000.0,1000.0,-455.79999999999995,0.34
163,4.0,-1000.0,-500.0,1000.0,600.0,-455.79999999999995,0.34
164,4.0,-1000.0,-500.0,1000.0,500.0,-455.79999999999995,0.34
165,4.0,-1000.0,-500.0,1000.0,400.0,-455.79999999999995,0.34
166,4.0,-1000.0,-500.0,1000.0,300.0,-499.8,0.34
167,4.0,-1000.0,-500.0,1000.0,200.0,-466.79999999999995,0.34
