"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"27","Detroit Red Wings","28","49.3679","7","16","5","6","19","0.339","46.7","55.91","45.52","35.33","43.1","45.05","27.48","30.6","47.31","1.78","3.04","36.94","1.98","2.38","45.37","22.05","26.26","45.64","14.06","15.58","47.44","1.56","2.6","37.50","11.11","83.29","8.9","10.2","46.59","7.47","7.29","50.59","1.22","1.56","43.75","16.28","78.57","13.15","16.06","45.02","6.6","8.29","44.31","0.35","1.04","25.00","5.26","87.43","20.05","25.31","44.21","11.59","13.85","45.56","0.22","0.43","33.33","1.87","96.87","6.48","90.07","0.965"
"22","Edmonton Oilers","28","50.025","19","7","2","19","40","0.714","49.3","56.33","46.67","36.84","42.15","46.64","26.22","30.33","46.36","2.31","2.31","50.00","2.14","2.29","48.32","23.43","28.4","45.21","14.22","16.71","45.98","2.01","2.06","49.47","14.16","87.69","9.04","9.94","47.63","6.9","7.32","48.49","1.16","1.24","48.21","16.77","83.04","14.39","18.46","43.81","7.32","9.38","43.85","0.86","0.81","51.28","11.70","91.32","21.8","24.2","47.39","10.49","12.04","46.58","0.21","0.26","45.45","2.04","97.86","8.82","92.37","1.012"
"24","Florida Panthers","28","47.2905","17","9","2","16","36","0.643","55.64","50.07","52.64","42.64","38.92","52.28","31.85","27.64","53.54","2.4","2.58","48.18","2.39","2.17","52.38","26.28","24.88","51.37","16.95","15","53.05","1.95","2.22","46.74","11.50","85.20","10.06","9.74","50.80","8.38","7.48","52.86","1.27","1.68","43.08","15.14","77.58","16.22","15.13","51.73","8.56","7.52","53.24","0.68","0.54","55.56","7.94","92.77","25.51","22.34","53.31","13.41","11.6","53.62","0.45","0.36","55.56","3.38","96.88","7.54","90.66","0.982"
"30","Los Angeles Kings","28","47.4315","12","14","2","11","26","0.464","51.23","55.79","47.87","38.67","41.65","48.14","27.78","30.5","47.67","2.26","3.03","42.74","2.11","2.57","45.12","23","29.41","43.88","14.46","18.16","44.32","2.08","2.58","44.66","14.38","85.82","9.49","12.02","44.12","7.14","8.76","44.89","1.49","1.63","47.83","20.89","81.44","13.51","17.39","43.71","7.32","9.4","43.78","0.59","0.95","38.24","8.02","89.90","24.08","22.36","51.85","12.2","10.89","52.84","0.18","0.41","30.77","1.48","96.27","8.13","90.07","0.982"
"15","Minnesota Wild","28","48.8554","14","11","3","13","31","0.554","49.08","58.91","45.45","37.81","44.21","46.10","27.19","30.92","46.79","2.41","2.72","47.01","2.3","2.46","48.39","23.77","26.45","47.34","14.69","16.05","47.79","2.19","2.32","48.54","14.93","85.52","10.09","9.91","50.44","7.9","7.76","50.42","1.49","1.45","50.75","18.89","81.36","13.68","16.54","45.28","6.8","8.29","45.06","0.7","0.88","44.44","10.32","89.42","21.45","27.94","43.43","11.14","13.86","44.56","0.22","0.39","35.71","1.97","97.15","8.87","91.21","1.001"
"3","Montreal Canadiens","28","48.1125","11","10","7","11","29","0.518","58.79","51.53","53.29","43.69","40","52.21","31.13","27.35","53.24","2.49","2.27","52.34","2.33","2.21","51.33","27.08","25.21","51.79","15.86","14.52","52.20","2.14","2.18","49.48","13.48","84.97","9.49","9.58","49.77","7.08","7.08","50.00","1.43","1.34","51.61","20.13","81.13","17.59","15.63","52.95","8.77","7.44","54.12","0.71","0.85","45.71","8.12","88.62","28.24","22.94","55.18","14.16","11.45","55.30","0.36","0.09","80.00","2.52","99.22","8.01","91.69","0.997"
"28","Nashville Predators","28","47.8113","13","13","2","10","28","0.500","54.37","53.92","50.21","41.5","40.38","50.68","30.39","30.79","49.67","2.06","2.2","48.42","2.35","2.38","49.71","25.37","25.19","50.18","16.31","15.91","50.63","1.75","1.7","50.65","10.71","89.30","10.98","10.53","51.04","8.38","7.8","51.80","1.17","1.25","48.15","13.90","83.91","14.39","14.66","49.54","7.93","8.11","49.44","0.58","0.45","56.52","7.34","94.48","25.1","25.73","49.38","13","13.98","48.17","0.31","0.49","38.89","2.41","96.47","6.78","92.87","0.997"
"20","New Jersey Devils","28","48.8536","12","12","4","12","28","0.500","54.39","56.63","48.99","40.88","43.47","48.47","30","32.02","48.37","2.5","2.63","48.72","2.33","2.37","49.58","25.88","25.84","50.04","15.92","16.23","49.52","2.19","2.11","51.02","13.77","87.03","10.66","10.35","50.73","7.9","7.9","50.00","1.4","1.27","52.46","17.78","83.89","15.22","15.48","49.57","8.03","8.33","49.06","0.79","0.83","48.65","9.84","90.00","25.31","28.03","47.45","12.9","14.87","46.45","0.31","0.48","38.89","2.38","96.76","8.33","91.78","1.001"
"8","New York Islanders","28","48.6196","11","13","4","10","26","0.464","49.67","53.86","47.98","37.73","40.02","48.53","27.77","28.82","49.07","1.72","1.85","48.15","1.96","2.13","47.94","22.57","24.59","47.85","13.75","14.46","48.75","1.28","1.59","44.62","9.29","89.02","8.42","8.55","49.61","6.52","6.61","49.66","0.71","1.1","39.02","10.81","83.33","14.15","16.04","46.86","7.23","7.85","47.95","0.57","0.48","54.17","7.93","93.82","23.84","25.87","47.96","12.78","13.35","48.90","0.44","0.26","62.50","3.45","98.02","6.19","93.58","0.998"
"26","New York Rangers","28","48.7101","13","12","3","12","29","0.518","48.66","52.48","48.11","37.31","39.64","48.48","27.23","28.24","49.09","2.33","2.46","48.62","2.05","2.22","48.10","22.39","24.94","47.30","13.46","15.13","47.08","1.8","1.94","48.24","13.40","87.21","8.71","9.37","48.18","6.33","6.99","47.52","1.1","1.1","50.00","17.36","84.28","13.68","15.57","46.77","7.13","8.14","46.69","0.7","0.84","45.71","9.88","89.73","23.05","24.37","48.61","12.41","11.92","50.99","0.53","0.53","50.00","4.26","95.57","8.56","91.28","0.998"
"31","Ottawa Senators","28","48.2387","9","18","1","8","19","0.339","54.42","59.17","47.91","40.25","44.91","47.26","27.9","32.69","46.04","2.22","3.69","37.59","2.31","2.81","45.07","26.39","30.74","46.19","14.66","18.44","44.30","1.87","3.33","35.90","12.73","81.93","10.22","12.88","44.23","6.8","9.55","41.58","1.38","1.69","44.93","20.26","82.33","16.17","17.86","47.52","7.86","8.88","46.95","0.49","1.64","22.92","6.21","81.50","23.77","24.97","48.77","11.51","13.15","46.67","0.36","0.36","50.00","3.09","97.30","7.96","88.72","0.967"
"23","Philadelphia Flyers","28","49.1101","13","11","4","12","30","0.536","51.66","48.83","51.41","39.14","37.74","50.91","27.71","28.1","49.65","2.4","3.19","42.97","2.2","2.2","49.98","24.3","24.96","49.34","14.27","15.23","48.37","2.18","2.62","45.45","15.29","82.81","9.82","10.6","48.08","7.81","8.33","48.38","1.53","1.79","46.05","19.55","78.53","14.49","14.36","50.23","6.46","6.89","48.37","0.65","0.83","44.12","10.14","87.97","23.87","21.21","52.95","11.96","11.82","50.28","0.22","0.52","29.41","1.82","95.57","8.66","88.66","0.973"
"1","Pittsburgh Penguins","28","49.1577","15","12","1","14","31","0.554","53.79","50.48","51.59","42.15","38.06","52.55","30.78","27.51","52.80","2.53","2.48","50.43","2.31","2.22","50.99","25.2","24.15","51.06","15.78","14.21","52.62","2.35","2.18","51.92","14.92","84.66","10.11","10.64","48.74","7.89","7.93","49.86","1.79","1.7","51.25","22.65","78.57","15.08","13.51","52.74","7.89","6.28","55.69","0.57","0.48","54.17","7.18","92.36","24.72","22.75","52.07","13.3","11.9","52.77","0.17","0.31","36.36","1.31","97.44","8.22","90.97","0.992"
"13","San Jose Sharks","28","47.4589","10","15","3","6","23","0.411","53.32","58.11","47.85","39.91","43.57","47.81","28.67","31.2","47.89","2.21","2.62","45.79","2.38","2.49","48.86","26.1","27.18","48.98","16.12","16.03","50.14","1.94","2.26","46.24","12.04","85.92","10.7","11.74","47.69","8.4","8.17","50.68","1.35","1.58","46.15","16.13","80.66","15.4","15.44","49.93","7.72","7.86","49.57","0.59","0.68","46.43","7.60","91.38","23.3","26.73","46.57","11.56","13.73","45.71","0.27","0.36","42.86","2.34","97.37","7.72","91.61","0.993"
"5","St Louis Blues","28","49.5595","15","9","4","13","34","0.607","48.21","53.79","47.27","34.76","39.91","46.55","24.99","28.41","46.80","2.16","2.25","49.02","1.94","2.22","46.63","23.31","24.73","48.51","13.27","14.83","47.23","1.86","1.77","51.19","14.01","88.05","8.69","10.51","45.27","6.27","7.26","46.33","1.34","1.08","55.36","21.38","85.12","14.61","14.23","50.67","7","7.57","48.07","0.52","0.69","42.86","7.41","90.86","21.36","25.16","45.91","10.85","12.5","46.48","0.3","0.48","38.89","2.79","96.19","8.65","92.09","1.007"
