"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"12","Winnipeg Jets","28","49.203","13","13","2","13","28","0.500","55.66","53.79","50.86","42.03","40.59","50.87","30.53","28.96","51.32","2.22","2.48","47.22","2.44","2.53","49.05","28.31","27.18","51.02","16.29","16.33","49.93","2.13","2.31","48.04","13.10","85.87","10.19","12.54","44.83","7.49","8.75","46.11","1.48","1.52","49.28","19.77","82.59","18.12","14.63","55.32","8.8","7.58","53.72","0.65","0.78","45.45","7.43","89.66","24.17","23.34","50.87","12.63","11.37","52.63","0.09","0.13","40.00","0.69","98.85","7.28","91.43","0.987"

"12","Anaheim Ducks","36","47.987","16","15","5","14","37","0.514","57.52","58.14","49.73","44.84","44.46","50.21","29.24","30.67","48.81","2.29","2.43","48.53","2.57","2.58","49.91","28.2","28.2","50.00","15.87","16.67","48.77","1.98","2.15","47.90","12.47","87.08","12.29","11.11","52.52","8.3","7.81","51.51","1.22","1.46","45.45","14.64","81.33","15.91","17.09","48.21","7.57","8.86","46.09","0.76","0.69","52.38","10.09","92.16","26.12","26.64","49.51","12.12","12.99","48.27","0.31","0.28","52.94","2.58","97.86","7.84","92.07","0.999"
"22","Arizona Coyotes","33","48.4232","17","12","4","16","38","0.576","59.29","60.23","49.61","44.83","44.91","49.96","31.95","30.9","50.84","2.67","2.37","52.99","2.48","2.34","51.53","26.88","26.51","50.35","16.18","14.72","52.37","2.07","2.07","50.00","12.76","85.97","12.24","10.33","54.24","8.79","7.06","55.45","1.43","1.31","52.05","16.24","81.38","14.64","16.18","47.50","7.4","7.66","49.13","0.64","0.75","45.95","8.63","90.20","27.33","28.76","48.73","13.74","14.46","48.74","0.6","0.3","66.67","4.37","97.92","8.34","92.35","1.007"
"30","Boston Bruins","35","46.7605","22","4","9","22","53","0.757","52.87","48.65","52.08","41.35","37.5","52.44","30.58","27.86","52.32","2.46","1.76","58.26","2.11","1.84","53.43","24.82","22.11","52.89","15.03","13.23","53.18","1.98","1.43","58.06","13.17","89.20","9.2","7.92","53.75","6.86","6.12","52.82","1.5","0.95","61.19","21.93","84.43","15.62","14.19","52.40","8.18","7.11","53.48","0.48","0.48","50.00","5.83","93.30","25.55","24.09","51.48","14","12.98","51.90","0.48","0.33","59.09","3.40","97.46","8.03","93.68","1.017"
"18","Buffalo Sabres","35","49.6524","20","11","4","18","44","0.629","47.2","48.92","49.10","37.6","39.08","49.03","27.14","28.93","48.40","2.45","2.24","52.21","1.97","2.04","49.12","22.34","21.58","50.86","13.74","14.02","49.50","2.11","2","51.26","15.33","85.71","9.56","9.08","51.30","7.35","7.18","50.59","1.28","1.28","50.00","17.37","82.21","12.77","12.5","50.55","6.39","6.84","48.30","0.83","0.73","53.33","12.97","89.39","22.65","24.51","48.02","12.46","13.84","47.38","0.35","0.24","58.82","2.77","98.25","9.03","92.24","1.013"
"23","Calgary Flames","33","48.5414","16","13","4","15","36","0.545","58.09","54.95","51.39","43.97","42.48","50.87","30.64","30.15","50.40","2.4","2.96","44.76","2.6","2.4","52.03","28.32","26.52","51.64","17.01","16.86","50.22","2.25","2.43","48.00","13.22","85.56","10.3","9.55","51.89","7.53","7.04","51.67","1.42","1.24","53.52","18.91","82.45","18.02","16.97","51.50","9.48","9.81","49.13","0.82","1.2","40.74","8.70","87.79","26.03","24.35","51.67","12.21","11.72","51.02","0.15","0.52","22.22","1.23","95.53","7.82","90.19","0.980"
"8","Carolina Hurricanes","33","47.6586","19","12","2","15","40","0.606","62.72","49.6","55.84","47.99","38.95","55.20","33.72","27.7","54.91","2.71","2.4","52.99","2.97","2.49","54.38","30.9","23.12","57.20","17.32","14.88","53.79","2.33","2.1","52.59","13.44","85.90","14.15","10.91","56.47","9.5","8.05","54.13","1.64","1.49","52.44","17.27","81.52","16.75","12.21","57.84","7.82","6.83","53.39","0.69","0.61","52.94","8.78","91.06","26.51","20.98","55.82","14.5","10.68","57.58","0.38","0.31","55.56","2.63","97.14","8.03","91.32","0.994"
"28","Chicago Blackhawks","34","47.9485","16","14","4","16","36","0.529","58.56","59.37","49.66","41.74","43.1","49.20","32.42","34.89","48.17","2.72","2.47","52.48","2.67","2.78","48.98","30.07","30.62","49.55","19.03","19.14","49.86","2.39","2.21","52.00","12.57","88.46","12.96","13.65","48.69","10.12","10.78","48.42","1.77","1.58","52.75","17.45","85.32","17.11","16.97","50.22","8.91","8.35","51.60","0.63","0.63","50.00","7.02","92.51","24","24.03","49.96","12.33","14.43","46.08","0.33","0.26","56.25","2.69","98.21","8.40","92.93","1.013"
"11","Colorado Avalanche","33","46.8682","18","9","6","18","42","0.636","61.49","54.54","52.99","45.27","39.88","53.17","34.37","30.72","52.80","2.91","2.37","55.15","2.45","2.14","53.42","28.86","23.51","55.11","17.42","14.7","54.23","2.09","1.94","51.92","12.03","86.81","10.63","9.27","53.41","8.22","7.29","53.00","1.24","1.28","49.23","15.09","82.45","18.23","14.24","56.15","9.19","7.41","55.37","0.85","0.66","56.41","9.28","91.10","28.09","26.15","51.79","15.71","14.28","52.39","0.78","0.43","64.52","4.94","97.01","8.47","92.30","1.008"
